"","species","count"
"456","Lasioglossum albocinctum",161
"457","Lasioglossum anomalum",609
"458","Lasioglossum bimaculatum",23
"459","Lasioglossum brevicorne",618
"460","Lasioglossum calceatum",31796
"461","Lasioglossum cinctipes",1259
"462","Lasioglossum clypeare",86
"463","Lasioglossum convexiusculum",131
"464","Lasioglossum coriaceum",4670
"465","Lasioglossum corvinum",14
"466","Lasioglossum costulatum",576
"467","Lasioglossum cressonii",7897
"468","Lasioglossum cupromicans",1299
"469","Lasioglossum euboeense",112
"470","Lasioglossum foxii",1209
"471","Lasioglossum fulvicorne",13225
"472","Lasioglossum glabriusculum",2103
"473","Lasioglossum hitchensi",7152
"474","Lasioglossum imitatum",9535
"475","Lasioglossum intermedium",257
"476","Lasioglossum interruptum",1148
"477","Lasioglossum laevigatum",2872
"478","Lasioglossum laevissimum",1684
"479","Lasioglossum laticeps",13131
"480","Lasioglossum lativentre",2824
"481","Lasioglossum leucopus",16272
"482","Lasioglossum leucozonium",17030
"483","Lasioglossum lineatulum",1731
"484","Lasioglossum macoupinense",450
"485","Lasioglossum malachurum",11314
"486","Lasioglossum mediterraneum",23
"487","Lasioglossum monstrificum",415
"488","Lasioglossum morio",30501
"489","Lasioglossum nigripes",1470
"490","Lasioglossum pallens",385
"491","Lasioglossum paradmirandum",348
"492","Lasioglossum paraforbesii",645
"493","Lasioglossum parvulum",2579
"494","Lasioglossum pauperatum",129
"495","Lasioglossum pauxillum",13733
"496","Lasioglossum pectorale",4048
"497","Lasioglossum perpunctatum",497
"498","Lasioglossum pilosum",12431
"499","Lasioglossum prasinum",346
"500","Lasioglossum punctatissimum",4525
"501","Lasioglossum puncticolle",530
"502","Lasioglossum quebecense",2591
"503","Lasioglossum tricinctum",914
"504","Lasioglossum versans",1513
"505","Lasioglossum versatum",11759
"506","Lasioglossum villosulum",11330
"507","Lasioglossum xanthopus",1146
"508","Lasioglossum zonulum",11750
"509","Lipotriches cinerascens",25
"510","Lipotriches cribrosa",36
"511","Lipotriches hylaeoides",64
"512","Lipotriches tanganyicensis",9
"513","Lithurgus chrysurus",493
"514","Macrotera texana",122
"515","Megachile alpicola",1709
"516","Megachile analis",1274
"517","Megachile apicalis",805
"518","Megachile centuncularis",7242
"519","Megachile flabellipes",55
"520","Megachile latimanus",3021
"521","Megachile maritima",1869
"522","Megachile mendica",5989
"523","Megachile nigriventris",1148
"524","Megachile pilicrus",160
"525","Megachile rotundata",5248
"526","Meganomia binghami",141
"527","Melipona mimetica",6
"528","Melissodes desponsus",2673
"529","Melissodes illatus",323
"530","Melissodes subillatus",372
"531","Melitoma segmentaria",765
"532","Melitomella murihirta",24
"533","Melitta dimidiata",323
"534","Melitta haemorrhoidalis",5879
"535","Melitta leporina",4925
"536","Melitta nigricans",4163
"537","Melitta tricincta",1305
"538","Melitturga clavicornis",615
"539","Osmia alticola",49
"540","Osmia anceyi",62
"541","Osmia andrenoides",398
"542","Osmia apicata",21
"543","Osmia argyropyga",13
"544","Osmia atriventris",2094
"545","Osmia aurulenta",6059
"546","Osmia avosetta",41
"547","Osmia balearica",21
