species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Andrena senecionis,Andrena senecionis,1,3,Andrenidae,Andrena
Andrena sigmundi,Andrena sigmundi,2,2,Andrenidae,Andrena
Andrena spiraeana,Andrena spiraeana,8,12,Andrenidae,Andrena
Andrena spolata,Andrena spolata,1,2,Andrenidae,Andrena
Andrena spreta,Andrena spreta,4,8,Andrenidae,Andrena
Andrena subopaca,Andrena subopaca,10,16,Andrenidae,Andrena
Andrena synadelpha,Andrena synadelpha,13,16,Andrenidae,Andrena
Andrena tebessana,Andrena tebessana,1,1,Andrenidae,Andrena
Andrena tenuistriata,Andrena tenuistriata,3,4,Andrenidae,Andrena
Andrena thaspii,Andrena thaspii,5,6,Andrenidae,Andrena
Andrena thoracica,Andrena thoracica,20,37,Andrenidae,Andrena
Andrena tibialis,Andrena tibialis,7,11,Andrenidae,Andrena
Andrena tinctoria,Andrena tinctoria,1,2,Andrenidae,Andrena
Andrena totana,Andrena totana,2,3,Andrenidae,Andrena
Andrena tridens,Andrena tridens,5,5,Andrenidae,Andrena
Andrena trimmerana,Andrena trimmerana,7,9,Andrenidae,Andrena
Andrena truncatilabris,Andrena truncatilabris,1,1,Andrenidae,Andrena
Andrena tuberculifera,Andrena tuberculifera,5,9,Andrenidae,Andrena
Andrena variabilis,Andrena variabilis,6,12,Andrenidae,Andrena
Andrena varians,Andrena varians,8,12,Andrenidae,Andrena
Andrena vaulogeri,Andrena vaulogeri,4,8,Andrenidae,Andrena
Andrena venerabilis,Andrena venerabilis,1,2,Andrenidae,Andrena
Andrena ventricosa,Andrena ventricosa,5,8,Andrenidae,Andrena
Andrena verticalis,Andrena verticalis,2,6,Andrenidae,Andrena
Andrena vetula,Andrena vetula,3,5,Andrenidae,Andrena
Andrena veturia,Andrena veturia,1,1,Andrenidae,Andrena
Andrena vicina,Andrena vicina,13,19,Andrenidae,Andrena
Andrena virginiana,Andrena virginiana,3,5,Andrenidae,Andrena
Andrena vulpecula,Andrena vulpecula,1,2,Andrenidae,Andrena
Andrena w-scripta,Andrena w-scripta,6,9,Andrenidae,Andrena
Andrena wellesleyana,Andrena wellesleyana,1,1,Andrenidae,Andrena
Andrena wilkella,Andrena wilkella,10,21,Andrenidae,Andrena
Andrena ziziae,Andrena ziziae,1,2,Andrenidae,Andrena
Anthophora aestivalis,Anthophora aestivalis,6,12,Apidae,Anthophora
Anthophora atriceps,Anthophora atriceps,4,6,Apidae,Anthophora
Anthophora bimaculata,Anthophora bimaculata,4,6,Apidae,Anthophora
Anthophora femorata,Anthophora femorata,1,1,Apidae,Anthophora
Anthophora retusa meridionalis,Anthophora retusa,6,10,Apidae,Anthophora
Anthophora terminalis,Anthophora terminalis,6,6,Apidae,Anthophora
Augochlora pura,Augochlora pura,12,16,Halictidae,Augochlora
Augochlorella aurata,Augochlorella aurata,14,25,Halictidae,Augochlorella
Augochloropsis metallica,Augochloropsis metallica,9,12,Halictidae,Augochloropsis
Bombus affinis,Bombus affinis,15,22,Apidae,Bombus
Bombus alagesianus,Bombus alagesianus,6,12,Apidae,Bombus
Bombus alpinus,Bombus alpinus,6,8,Apidae,Bombus
Bombus argillaceus,Bombus argillaceus,11,34,Apidae,Bombus
Bombus armeniacus,Bombus armeniacus,9,21,Apidae,Bombus
Bombus auricomus,Bombus auricomus,8,14,Apidae,Bombus
Bombus balteatus,Bombus balteatus,9,20,Apidae,Bombus
Bombus bimaculatus,Bombus bimaculatus,22,34,Apidae,Bombus
Bombus bisiculus,Bombus bisiculus,8,15,Apidae,Bombus
Bombus borealis,Bombus borealis,13,16,Apidae,Bombus
Bombus brodmannicus,Bombus brodmannicus,8,12,Apidae,Bombus
Bombus confusus,Bombus confusus,8,18,Apidae,Bombus
Bombus cullumanus,Bombus cullumanus,11,18,Apidae,Bombus
Bombus distinguendus,Bombus distinguendus,10,16,Apidae,Bombus
Bombus fervidus,Bombus fervidus,12,25,Apidae,Bombus
Bombus fragrans,Bombus fragrans,6,12,Apidae,Bombus
Bombus frigidus,Bombus frigidus,9,12,Apidae,Bombus
Bombus griseocollis,Bombus griseocollis,22,42,Apidae,Bombus
Bombus haematurus,Bombus haematurus,7,15,Apidae,Bombus
Bombus handlirschianus,Bombus handlirschianus,4,14,Apidae,Bombus
Bombus hortorum,Bombus hortorum,6,10,Apidae,Bombus
Bombus hypnorum,Bombus hypnorum,18,26,Apidae,Bombus
Bombus impatiens,Bombus impatiens,25,49,Apidae,Bombus
Bombus incertus,Bombus incertus,13,25,Apidae,Bombus
Bombus lapidarius,Bombus lapidarius,6,9,Apidae,Bombus
Bombus lapponicus,Bombus lapponicus,8,14,Apidae,Bombus
Bombus lucorum,Bombus lucorum,11,14,Apidae,Bombus
Bombus melanurus,Bombus melanurus,7,16,Apidae,Bombus
Bombus mendax,Bombus mendax,8,13,Apidae,Bombus
Bombus mesomelas,Bombus mesomelas,15,36,Apidae,Bombus
Bombus monticola,Bombus monticola,10,15,Apidae,Bombus
Bombus mucidus,Bombus mucidus,5,8,Apidae,Bombus
Bombus muscorum,Bombus muscorum,10,20,Apidae,Bombus
