"","all_hulls$species","species"
"426","Agapostemon sericeus","Agapostemon sericeus"
"427","Agapostemon virescens","Agapostemon virescens"
"428","Augochlora pura","Augochlora pura"
"429","Augochlorella aurata","Augochlorella aurata"
"430","Dieunomia heteropoda","Dieunomia heteropoda"
"431","Dufourea alpina","Dufourea alpina"
"432","Dufourea dentiventris","Dufourea dentiventris"
"433","Dufourea halictula","Dufourea halictula"
"434","Dufourea inermis","Dufourea inermis"
"435","Dufourea minuta","Dufourea minuta"
"436","Dufourea monardae","Dufourea monardae"
"437","Dufourea paradoxa","Dufourea paradoxa"
"438","Halictus confusus","Halictus confusus"
"439","Halictus crenicornis","Halictus crenicornis"
"440","Halictus ligatus","Halictus ligatus"
"441","Halictus maculatus","Halictus maculatus"
"442","Halictus pollinosus","Halictus pollinosus"
"443","Halictus quadricinctus","Halictus quadricinctus"
"444","Halictus rubicundus","Halictus rubicundus"
"445","Halictus scabiosae","Halictus scabiosae"
"446","Halictus subauratus","Halictus subauratus"
"447","Halictus tumulorum","Halictus tumulorum"
"448","Lasioglossum acuminatum","Lasioglossum acuminatum"
"449","Lasioglossum albipes","Lasioglossum albipes"
"450","Lasioglossum albocinctum","Lasioglossum albocinctum"
"451","Lasioglossum anomalum","Lasioglossum anomalum"
"452","Lasioglossum bimaculatum","Lasioglossum bimaculatum"
"453","Lasioglossum brevicorne","Lasioglossum brevicorne"
"454","Lasioglossum calceatum","Lasioglossum calceatum"
"455","Lasioglossum cinctipes","Lasioglossum cinctipes"
"456","Lasioglossum clypeare","Lasioglossum clypeare"
"457","Lasioglossum convexiusculum","Lasioglossum convexiusculum"
"458","Lasioglossum coriaceum","Lasioglossum coriaceum"
"459","Lasioglossum corvinum","Lasioglossum corvinum"
"460","Lasioglossum costulatum","Lasioglossum costulatum"
"461","Lasioglossum cressonii","Lasioglossum cressonii"
"462","Lasioglossum cupromicans","Lasioglossum cupromicans"
"463","Lasioglossum euboeense","Lasioglossum euboeense"
"464","Lasioglossum foxii","Lasioglossum foxii"
"465","Lasioglossum fulvicorne","Lasioglossum fulvicorne"
"466","Lasioglossum glabriusculum","Lasioglossum glabriusculum"
"467","Lasioglossum hitchensi","Lasioglossum hitchensi"
"468","Lasioglossum imitatum","Lasioglossum imitatum"
"469","Lasioglossum immunitum","Lasioglossum immunitum"
"470","Lasioglossum intermedium","Lasioglossum intermedium"
