"","bee_species","fam_hill_2","bee_genus","bee_family","eoo_size_m2","count_in_Dorey","diet_families_rareCount","diet_binary","log_area","log_diet","log_hill"
"77","Andrena helvola",2.46846716525368,"Andrena","Andrenidae",24250074623285,7119,10.635905,"Generalist",30.8194408105562,2.36423554141159,0.903597377130918
"78","Andrena hippotes",2.02798591709029,"Andrena","Andrenidae",14624400228482,1994,7.259373,"Generalist",30.3137124981872,1.98229346147079,0.707043141469268
"79","Andrena hirticincta",1,"Andrena","Andrenidae",9176250544358,2310,1,"Specialist",29.8476397996939,0,0
"80","Andrena imitatrix",1.82711945232997,"Andrena","Andrenidae",12607386118248,3838,5.631012,"Generalist",30.1653039579989,1.72828917733041,0.602740656938913
"81","Andrena integra",1,"Andrena","Andrenidae",4618522283382,249,1,"Specialist",29.1610959177768,0,0
"82","Andrena isocomae",1,"Andrena","Andrenidae",819520141660,117,1.999229,"Generalist",27.4319848128148,0.692761606235718,-4.44089209850063e-16
"83","Andrena labialis",1.51591415186236,"Andrena","Andrenidae",14880696874844,1402,8.422365,"Generalist",30.3310859772237,2.13089066767501,0.416018657557621
"84","Andrena labiata",2.61651595745585,"Andrena","Andrenidae",15483030332191,3134,9.497016,"Generalist",30.3707657228255,2.25097764400195,0.961843645590757
"85","Andrena lagopus",1,"Andrena","Andrenidae",2976934213493,633,1,"Specialist",28.7219150994624,0,0
"86","Andrena lapponica",1.25058309357093,"Andrena","Andrenidae",30841786184823,5756,9.847643,"Generalist",31.0598915807423,2.28723213720963,0.223609917405383
"87","Andrena lathyri",1,"Andrena","Andrenidae",5856428133522,2505,1,"Specialist",29.3985610001477,0,0
"88","Andrena leptopyga",1.16875785743335,"Andrena","Andrenidae",89706161650,4,3.895122,"Generalist",25.2198052954023,1.35972500104014,0.155941524535786
"89","Andrena leucolippa",1,"Andrena","Andrenidae",785393038986,160,1,"Specialist",27.3894501160335,0,0
"90","Andrena longibarbis",1.00609486311002,"Andrena","Andrenidae",396923820409,37,1.769231,"Generalist",26.7070102110822,0.570544988902387,0.00607636455789787
"91","Andrena mandibularis",1.95242640081971,"Andrena","Andrenidae",13576989891281,648,5.977284,"Generalist",30.2393975559991,1.78796628418928,0.669072907178577
"92","Andrena melliventris",1,"Andrena","Andrenidae",2335085645061,115,1.914046,"Generalist",28.4790696852037,0.649219326179791,0
"93","Andrena minutula",2.33542142218486,"Andrena","Andrenidae",44414351445768,13154,11.287139,"Generalist",31.4245837638995,2.42366393595038,0.848192355429287
"94","Andrena minutuloides",1.19290120417433,"Andrena","Andrenidae",11268131494757,3697,5.074918,"Generalist",30.0529996356258,1.62431036716185,0.176388326756452
"95","Andrena miranda",1.97143748671364,"Andrena","Andrenidae",23001416235710,615,4.951424,"Generalist",30.7665769054277,1.59967521197725,0.678762965343672
"96","Andrena miserabilis",1.90863105323965,"Andrena","Andrenidae",17713802301797,6980,3.963108,"Generalist",30.5053652426912,1.37702856591872,0.646386259035089
"97","Andrena mitis",1,"Andrena","Andrenidae",2020678165203,656,1,"Specialist",28.3344542963465,0,0
"98","Andrena mocsaryi",1,"Andrena","Andrenidae",100290423254,4,1,"Specialist",25.3313360463387,0,0
"99","Andrena montana",2.47677330578989,"Andrena","Andrenidae",412220390755,85,11.166126,"Generalist",26.7448239722894,2.41288473108028,0.906956626654079
"100","Andrena mucida",1.16958440007052,"Andrena","Andrenidae",1170629367373,28,2.70922,"Generalist",27.7885626409423,0.996660770584427,0.156648472091426
"101","Andrena nana",1.45482466113476,"Andrena","Andrenidae",3175060603127,310,2.196078,"Generalist",28.7863478356901,0.786673042142178,0.374885385550645
"102","Andrena nasonii",1.74271570583883,"Andrena","Andrenidae",12003348193674,6265,9.262201,"Generalist",30.1162067429383,2.22594170939942,0.555444647003306
"103","Andrena nasuta",1,"Andrena","Andrenidae",2798654851248,52,1,"Specialist",28.6601600074071,0,0
"104","Andrena nigriceps",1.68393126430168,"Andrena","Andrenidae",7874084257535,1288,9.263131,"Generalist",29.6945980091212,2.22604211245841,0.521131098064108
"105","Andrena nigroaenea",2.6500137834518,"Andrena","Andrenidae",21859037856744,11711,11.873199,"Generalist",30.7156355838357,2.47428367526079,0.97456484128717
"106","Andrena nitida",2.74227527104146,"Andrena","Andrenidae",24789645745706,10312,13.18719,"Generalist",30.841447171664,2.57924590385098,1.00878796670725
"107","Andrena nitidiuscula",1,"Andrena","Andrenidae",5323140733371,508,1,"Specialist",29.3030846085018,0,0
"108","Andrena nitidula",1,"Andrena","Andrenidae",972215590290,42,1,"Specialist",27.6028434175226,0,0
"109","Andrena nivalis",1.32242879158538,"Andrena","Andrenidae",18446988000722,1493,6.770777,"Generalist",30.5459222210946,1.91261585138724,0.279470039508918
