flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Andrena tebessana,Andrena tebessana,,
,Andrena tenebricorpus,Andrena tenebricorpus,,
,Andrena tenuistriata,Andrena tenuistriata,,
,Andrena testaceipes,Andrena testaceipes,,
,Andrena thaspii,Andrena thaspii,,
,Andrena thoracica,Andrena thoracica,,
,Andrena tibialis,Andrena tibialis,,
,Andrena tinctoria,Andrena tinctoria,,
,Andrena totana,Andrena totana,,
,Andrena tridens,Andrena tridens,,
,Andrena trimmerana,Andrena trimmerana,,
,Andrena truncatilabris,Andrena truncatilabris,,
,Andrena tscheki,Andrena tscheki,,
,Andrena tuberculifera,Andrena tuberculifera,,
,Andrena tunetana,Andrena tunetana,,
,Andrena ungeri,Andrena ungeri,,
,Andrena vacella,Andrena vacella,,
,Andrena variabilis,Andrena variabilis,,
,Andrena varians,Andrena varians,,
,Andrena vaulogeri,Andrena vaulogeri,,
,Andrena venerabilis,Andrena venerabilis,,
,Andrena ventricosa,Andrena ventricosa,,
,Andrena verticalis,Andrena verticalis,,
,Andrena vetula,Andrena vetula,,
,Andrena veturia,Andrena veturia,,
,Andrena vicina,Andrena vicina,,
,Andrena villipes,Andrena villipes,,
,Andrena virginiana,Andrena virginiana,,
,Andrena viridescens,Andrena viridescens,,
,,,,
,,,,
,Andrena vulpecula,Andrena vulpecula,,
,Andrena w-scripta,Andrena w-scripta,,
,Andrena wellesleyana,Andrena wellesleyana,,
,Andrena wilkella,Andrena wilkella,,
,Andrena wilmattae,Andrena wilmattae,,
,Andrena ziziae,Andrena ziziae,,
,Anthidiellum notatum,Anthidiellum notatum,,
,Anthidium oblongatum,Anthidium oblongatum,,
,Anthophora aestivalis,Anthophora aestivalis,,
,Anthophora agama,Anthophora agama,,
,Anthophora atriceps,Anthophora atriceps,,
,Anthophora atroalba,Anthophora atroalba,,
,Anthophora bimaculata,Anthophora bimaculata,,
,Anthophora femorata,Anthophora femorata,,
,Anthophora furcata,Anthophora furcata,,
,Anthophora gallica,Anthophora gallica,,
,Anthophora hispanica,Anthophora hispanica,,
,Anthophora leucophaea,Anthophora leucophaea,,
,Anthophora plumipes,Anthophora plumipes,,
,Anthophora podagra,Anthophora podagra,,
,Anthophora quadrimaculata,Anthophora quadrimaculata,,
"flag, change wood name",Anthophora retusa meridionalis,Anthophora retusa,,
,Anthophora terminalis,Anthophora terminalis,,
,Anthophora walshii,Anthophora walshii,,
,Augochlora pura,Augochlora pura,,
,Augochlorella aurata,Augochlorella aurata,,
,Augochloropsis metallica,Augochloropsis metallica,,
,Bombus affinis,Bombus affinis,,
,Bombus alagesianus,Bombus alagesianus,,
,Bombus alpinus,Bombus alpinus,,
,Bombus argillaceus,Bombus argillaceus,,
,Bombus armeniacus,Bombus armeniacus,,
,Bombus auricomus,Bombus auricomus,,
,Bombus balteatus,Bombus balteatus,,
,Bombus bimaculatus,Bombus bimaculatus,,
,Bombus bisiculus,Bombus bisiculus,,
,Bombus borealis,Bombus borealis,,
,Bombus brodmannicus,Bombus brodmannicus,,
,Bombus confusus,Bombus confusus,,
,Bombus cullumanus,Bombus cullumanus,,
,Bombus distinguendus,Bombus distinguendus,,
,Bombus fervidus,Bombus fervidus,,
,Bombus fragrans,Bombus fragrans,,
,Bombus frigidus,Bombus frigidus,,
,Bombus griseocollis,Bombus griseocollis,,
,Bombus haematurus,Bombus haematurus,,
,Bombus handlirschianus,Bombus handlirschianus,,
,Bombus hortorum,Bombus hortorum,,
,Bombus humilis,Bombus humilis,,
,Bombus hypnorum,Bombus hypnorum,,
,Bombus impatiens,Bombus impatiens,,
,Bombus incertus,Bombus incertus,,
,Bombus kirbiellus,Bombus kirbiellus,,
,Bombus lapidarius,Bombus lapidarius,,
,Bombus lapponicus,Bombus lapponicus,,
,Bombus lucorum,Bombus lucorum,,
,Bombus melanurus,Bombus melanurus,,
,Bombus mendax,Bombus mendax,,
,Bombus mesomelas,Bombus mesomelas,,
,Bombus mocsaryi,Bombus mocsaryi,,
,Bombus monticola,Bombus monticola,,
,Bombus mucidus,Bombus mucidus,,
,Bombus muscorum,Bombus muscorum,,
,Bombus niveatus,Bombus niveatus,,
,Bombus pascuorum,Bombus pascuorum,,
,Bombus pensylvanicus,Bombus pensylvanicus,,
,Bombus perplexus,Bombus perplexus,,
,,,,
,,,,
,Bombus pomorum,Bombus pomorum,,
,Bombus portschinskyi,Bombus portschinskyi,,
,Bombus pratorum,Bombus pratorum,,
,Bombus pyrenaeus,Bombus pyrenaeus,,
,Bombus ruderarius,Bombus ruderarius,,
,Bombus ruderatus,Bombus ruderatus,,
,Bombus rufocinctus,Bombus rufocinctus,,
,Bombus saltarius,Bombus saltarius,,
,Bombus sandersoni,Bombus sandersoni,,
,Bombus sichelii,Bombus sichelii,,
,Bombus soroeensis,Bombus soroeensis,,
,Bombus sporadicus,Bombus sporadicus,,
,Bombus subterraneus,Bombus subterraneus,,
,Bombus sulfureus,Bombus sulfureus,,
,Bombus sylvarum,Bombus sylvarum,,
,Bombus ternarius,Bombus ternarius,,
,Bombus terrestris,Bombus terrestris,,
,Bombus terricola,Bombus terricola,,
,Bombus vagans,Bombus vagans,,
,Bombus veteranus,Bombus veteranus,,
,Bombus wurflenii,Bombus wurflenii,,
,Bombus zonatus,Bombus zonatus,,
,Calliopsis andreniformis,Calliopsis andreniformis,,
,Camptopoeum clypeare,Camptopoeum clypeare,,
,,,,
"flag, change wood name",Camptopoeum friesei euzonus,Camptopoeum friesei,,
,Camptopoeum frontale,Camptopoeum frontale,,
,Camptopoeum nasutum,Camptopoeum nasutum,,
,Camptopoeum nevegense,Camptopoeum nevegense,,
,Camptopoeum sacrum,Camptopoeum sacrum,,
,Camptopoeum schewyrewi,Camptopoeum schewyrewi,,
,Camptopoeum variegatum,Camptopoeum variegatum,,
,Ceratina calcarata,Ceratina calcarata,,
,Ceratina chalcites,Ceratina chalcites,,
,Ceratina chalybea,Ceratina chalybea,,
,Ceratina cucurbitina,Ceratina cucurbitina,,
,Ceratina cyanea,Ceratina cyanea,,
,Ceratina dupla,Ceratina dupla,,
,Ceratina mikmaqi,Ceratina mikmaqi,,
,Ceratina strenua,Ceratina strenua,,
,Chelostoma edentulum,Chelostoma edentulum,,
,Chelostoma rapunculi,Chelostoma rapunculi,,
,,,,
,Clavipanurgus anatolicus,Clavipanurgus anatolicus,,
,Clavipanurgus punctiventris,Clavipanurgus punctiventris,,
,Clavipanurgus sculpturatus,Clavipanurgus sculpturatus,,
,Colletes acutus,Colletes acutus,,
,Colletes albomaculatus,Colletes albomaculatus,,
,Colletes americanus,Colletes americanus,,
,Colletes compactus,Colletes compactus,,
"flag, change wood name",Colletes consors mesoscopus,Colletes consors,,
,Colletes daviesanus,Colletes daviesanus,,
,Colletes dinizi,Colletes dinizi,,
,Colletes hederae,Colletes hederae,,
,Colletes hyalinus,Colletes hyalinus,,
,Colletes inaequalis,Colletes inaequalis,,
,Colletes kincaidii,Colletes kincaidii,,
,Colletes latitarsis,Colletes latitarsis,,
,Colletes nudus,Colletes nudus,,
,Colletes similis,Colletes similis,,
,Colletes simulans,Colletes simulans,,
,Colletes solidaginis,Colletes solidaginis,,
,Colletes thoracicus,Colletes thoracicus,,
,Colletes validus,Colletes validus,,
,Cubiandrena cubiceps,Cubiandrena cubiceps,,
,Dasypoda cingulata,Dasypoda cingulata,,
,Dasypoda dusmeti,Dasypoda dusmeti,,
,Dasypoda maura,Dasypoda maura,,
,Dasypoda visnaga,Dasypoda visnaga,,
,Dianthidium simile,Dianthidium simile,,
,Dieunomia heteropoda,Dieunomia heteropoda,,
,Dufourea harveyi,Dufourea harveyi,,
,Dufourea monardae,Dufourea monardae,,
,Dufourea trautmanni,Dufourea trautmanni,,
,Eucera alternans,Eucera alternans,,
,Eucera caspica,Eucera caspica,,
,Eucera chrysopyga,Eucera chrysopyga,,
,Eucera cinctella,Eucera cinctella,,
,Eucera cineraria,Eucera cineraria,,
,Eucera clypeata,Eucera clypeata,,
,Eucera collaris,Eucera collaris,,
,Eucera decolorata,Eucera decolorata,,
,Eucera dentata,Eucera dentata,,
,Eucera elongatula,Eucera elongatula,,
,Eucera eucnemidea,Eucera eucnemidea,,
,Eucera fulvescens,Eucera fulvescens,,
,Eucera furfurea,Eucera furfurea,,
,Eucera hamata,Eucera hamata,,
,Eucera iberica,Eucera iberica,,
,Eucera interrupta,Eucera interrupta,,
,Eucera julliani,Eucera julliani,,
,Eucera longicornis,Eucera longicornis,,
