flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Macropis patellata,Macropis patellata,,
,Megachile albisecta,Megachile albisecta,,
,Megachile albonotata,Megachile albonotata,,
,Megachile campanulae,Megachile campanulae,,
,Megachile centuncularis,Megachile centuncularis,,
,Megachile ericetorum,Megachile ericetorum,,
,Megachile frigida,Megachile frigida,,
,Megachile gemula,Megachile gemula,,
,Megachile genalis,Megachile genalis,,
,Megachile inermis,Megachile inermis,,
,Megachile latimanus,Megachile latimanus,,
,Megachile leachella,Megachile leachella,,
,Megachile lefebvrei,Megachile lefebvrei,,
,Megachile ligniseca,Megachile ligniseca,,
,Megachile maritima,Megachile maritima,,
,Megachile melanophaea,Megachile melanophaea,,
,Megachile mendica,Megachile mendica,,
,Megachile montivaga,Megachile montivaga,,
,Megachile mucida,Megachile mucida,,
,Megachile octosignata,Megachile octosignata,,
,Megachile petulans,Megachile petulans,,
,Megachile pilidens,Megachile pilidens,,
,Megachile pugnata,Megachile pugnata,,
,Megachile pyreneica,Megachile pyreneica,,
,Megachile relativa,Megachile relativa,,
,Megachile rotundata,Megachile rotundata,,
,Megachile sculpturalis,Megachile sculpturalis,,
,Megachile texana,Megachile texana,,
,Megachile versicolor,Megachile versicolor,,
,Megachile willughbiella,Megachile willughbiella,,
,Melissodes agilis,Melissodes agilis,,
,Melissodes bimaculatus,Melissodes bimaculatus,,
,Melissodes communis,Melissodes communis,,
,Melissodes denticulatus,Melissodes denticulatus,,
,Melissodes desponsus,Melissodes desponsus,,
,Melissodes druriellius,Melissodes druriellius,,
,Melissodes druriellus,Melissodes druriellus,,
,Melissodes illatus,Melissodes illatus,,
,Melissodes subillatus,Melissodes subillatus,,
,Melissodes trinodis,Melissodes trinodis,,
,Melitta aegyptiaca,Melitta aegyptiaca,,
,Melitta haemorrhoidalis,Melitta haemorrhoidalis,,
,Melitta leporina,Melitta leporina,,
,Melitta nigricans,Melitta nigricans,,
,Melitta tricincta,Melitta tricincta,,
,Melitturga caudata,Melitturga caudata,,
,Melitturga oraniensis,Melitturga oraniensis,,
,Nomiapis bispinosa,Nomiapis bispinosa,,
,Nomiapis diversipes,Nomiapis diversipes,,
,Nomiapis paulyi,Nomiapis paulyi,,
,Nomiapis rufiventris,Nomiapis rufiventris,,
,Osmia atriventris,Osmia atriventris,,
,Osmia bicolor,Osmia bicolor,,
,Osmia bicornis,Osmia bicornis,,
,Osmia brevicornis,Osmia brevicornis,,
,Osmia bucephala,Osmia bucephala,,
,Osmia caerulescens,Osmia caerulescens,,
,Osmia conjuncta,Osmia conjuncta,,
,Osmia cornifrons,Osmia cornifrons,,
,Osmia cornuta,Osmia cornuta,,
,Osmia distincta,Osmia distincta,,
,Osmia emarginata,Osmia emarginata,,
,Osmia georgica,Osmia georgica,,
,Osmia iberica,Osmia iberica,,
,Osmia leaiana,Osmia leaiana,,
,Osmia lignaria,Osmia lignaria,,
,Osmia nigriventris,Osmia nigriventris,,
,Osmia parietina,Osmia parietina,,
,Osmia pumila,Osmia pumila,,
,Osmia rufohirta,Osmia rufohirta,,
,Osmia simillima,Osmia simillima,,
,Osmia spinulosa,Osmia spinulosa,,
,Osmia texana,Osmia texana,,
,Osmia uncicornis,Osmia uncicornis,,
,Osmia virga,Osmia virga,,
,Panurginus albopilosus,Panurginus albopilosus,,
,Panurgus calceatus,Panurgus calceatus,,
,Panurgus canescens,Panurgus canescens,,
,Panurgus cephalotes,Panurgus cephalotes,,
,Panurgus convergens,Panurgus convergens,,
,Panurgus maroccanus,Panurgus maroccanus,,
,Panurgus nigriscopus,Panurgus nigriscopus,,
,Panurgus ovatulus,Panurgus ovatulus,,
,Panurgus perezi,Panurgus perezi,,
,Panurgus rungsii,Panurgus rungsii,,
,Perdita bequaerti,Perdita bequaerti,,
,Perdita halictoides,Perdita halictoides,,
,Perdita maculigera,Perdita maculigera,,
,Perdita octomaculata,Perdita octomaculata,,
,Perdita octomaculatus,Perdita octomaculatus,,
,Protosmia exenerata,Protosmia exenerata,,
,Pseudopanurgus aestivalis,Pseudopanurgus aestivalis,,
,Pseudopanurgus andrenoides,Pseudopanurgus andrenoides,,
,Trachusa byssina,Trachusa byssina,,
,Trachusa interrupta,Trachusa interrupta,,
,Xylocopa iris,Xylocopa iris,,
,Xylocopa virginica,Xylocopa virginica,,
