Rank,Family,Species_wood,species,Rare10,Integer
624,Melittidae,Capicola rufiventris,Capicola rufiventris,1,1
150,Melittidae,Dasypoda albimana,Dasypoda albimana,8.498384,8
439,Melittidae,Dasypoda albipila,Dasypoda albipila,2,2
491,Melittidae,Dasypoda argentata,Dasypoda argentata,1.564972,2
484,Melittidae,Dasypoda braccata,Dasypoda braccata,1.708004,2
175,Melittidae,Dasypoda cingulata,Dasypoda cingulata,7.945953,8
391,Melittidae,Dasypoda crassicornis,Dasypoda crassicornis,2.9992,3
369,Melittidae,Dasypoda dusmeti,Dasypoda dusmeti,3.576374,4
489,Melittidae,Dasypoda hirtipes,Dasypoda hirtipes,1.576585,2
482,Melittidae,Dasypoda maura,Dasypoda maura,1.726817,2
306,Melittidae,Dasypoda morotei,Dasypoda morotei,4.825153,5
406,Melittidae,Dasypoda oraniensis,Dasypoda oraniensis,2.831636,3
503,Melittidae,Dasypoda pyriformis,Dasypoda pyriformis,1.37037,1
666,Melittidae,Dasypoda pyrotrichia,Dasypoda pyrotrichia,1,1
415,Melittidae,Dasypoda sinuata,Dasypoda sinuata,2.524179,3
667,Melittidae,Dasypoda spinigera,Dasypoda spinigera,1,1
668,Melittidae,Dasypoda suripes,Dasypoda suripes,1,1
669,Melittidae,Dasypoda tubera,Dasypoda tubera,1,1
670,Melittidae,Dasypoda visnaga,Dasypoda visnaga,1,1
394,Melittidae,Haplomelitta ogilviei,Haplomelitta ogilviei,2.989146,3
756,Melittidae,Macropis europaea,Macropis europaea,1,1
757,Melittidae,Macropis fulvipes,Macropis fulvipes,1,1
758,Melittidae,Macropis nuda,Macropis nuda,1,1
771,Melittidae,Melitta dimidiata,Melitta dimidiata,1,1
772,Melittidae,Melitta haemorrhoidalis,Melitta haemorrhoidalis,1,1
773,Melittidae,Melitta leporina,Melitta leporina,1,1
774,Melittidae,Melitta nigricans,Melitta nigricans,1,1
775,Melittidae,Melitta tricincta,Melitta tricincta,1,1
390,Melittidae,Samba ogilviei,Samba ogilviei,2.999389,3
840,Melittidae,Samba spinosa,Samba spinosa,1,1
