beeFamily,species,Loads,dietFamily
Apidae,Bombus cullumanus,20,6
Apidae,Bombus distinguendus,53,3
Apidae,Bombus fervidus,66,6
Apidae,Bombus fragrans,30,5
Apidae,Bombus frigidus,19,5
Apidae,Bombus griseocollis,86,10
Apidae,Bombus haematurus,15,5
Apidae,Bombus handlirschianus,41,2
Apidae,Bombus hortorum,103,10
Apidae,Bombus humilis,71,7
Apidae,Bombus hypnorum,39,12
Apidae,Bombus impatiens,152,9
Apidae,Bombus incertus,57,7
Apidae,Bombus lapidarius,142,4
Apidae,Bombus lapponicus,50,6
Apidae,Bombus lucorum,19,7
Apidae,Bombus melanurus,23,5
Apidae,Bombus mendax,54,4
Apidae,Bombus mesomelas,109,5
Apidae,Bombus monticola,41,5
Apidae,Bombus mucidus,33,3
Apidae,Bombus muscorum,53,6
Apidae,Bombus niveatus,67,3
Apidae,Bombus pascuorum,162,7
Apidae,Bombus pensylvanicus,41,3
Apidae,Bombus perplexus,59,12
Apidae,Bombus pomorum,144,5
Apidae,Bombus portschinskyi,25,4
Apidae,Bombus pratorum,98,13
Apidae,Bombus pyrenaeus,44,7
Apidae,Bombus ruderarius,96,4
Apidae,Bombus ruderatus,36,5
Apidae,Bombus rufocinctus,39,10
Apidae,Bombus sichelii,84,7
Apidae,Bombus soroeensis,104,9
Apidae,Bombus sporadicus,12,6
Apidae,Bombus subterraneus,154,5
Apidae,Bombus sylvarum,112,7
Apidae,Bombus ternarius,62,6
Apidae,Bombus terrestris,166,12
Apidae,Bombus terricola,65,10
Apidae,Bombus vagans,80,6
Apidae,Bombus veteranus,69,7
Apidae,Bombus wurflenii,87,6
Apidae,Bombus zonatus,47,5
Apidae,Centris nitida,41,9
Apidae,Ceratina calcarata,29,8
Apidae,Ceratina dupla,15,9
Apidae,Ceratina mikmaqi,24,6
Apidae,Chalepogenus cocuccii,17,3
Apidae,Cubitalia parvicornis,10,1
Apidae,Diadasia angusticeps,16,1
Apidae,Diadasia diminuta,25,3
Apidae,Diadasia enavata,21,1
Apidae,Diadasia laticauda,17,1
Apidae,Diadasia nigrifrons,36,1
Apidae,Diadasia ochracea,20,1
Apidae,Diadasia sphaeralcearum,23,1
Apidae,Diadasia tropicalis,14,1
Apidae,Diadasia vallicola,20,1
Apidae,Diadasina riparia,NA,1
Apidae,Eucera alternans,10,6
Apidae,Eucera caspica,11,3
Apidae,Eucera clypeata,36,7
Apidae,Eucera cuniculina,10,2
Apidae,Eucera cypria,24,1
Apidae,Eucera dafnii,12,1
Apidae,Eucera elongatula,42,6
Apidae,Eucera eucnemidea,17,2
Apidae,Eucera frater,10,3
Apidae,Eucera furfurea,10,1
Apidae,Eucera interrupta,22,1
Apidae,Eucera longicornis,17,2
Apidae,Eucera nigrescens,20,2
Apidae,Eucera nigrifacies,10,1
Apidae,Eucera nigrilabris,17,3
Apidae,Eucera notata,34,2
Apidae,Eucera pici,18,2
Apidae,Eucera primiveris,10,3
Apidae,Eucera proxima,20,2
Apidae,Eucera taurica,18,1
Apidae,Euglossa cordata,175,7
Apidae,Eulaema nigrita,45,5
Apidae,Melipona mimetica,251,13
Apidae,Melissodes desponsus,17,1
Apidae,Melissodes illatus,13,1
Apidae,Melissodes subillatus,10,1
Apidae,Melitoma osmoides,NA,1
Apidae,Melitoma segmentaria,NA,1
Apidae,Melitomella murihirta,NA,1
Apidae,Peponapis michelbacherorum,NA,1
Apidae,Peponapis pruinosa,NA,1
Apidae,Peponapis utahensis,NA,1
Apidae,Ptilothrix bombiformis,NA,1
Apidae,Ptilothrix plumata,NA,1
Apidae,Tetralonia cinctella,10,1
Apidae,Tetralonia dentata,16,1
Apidae,Tetralonia iberica,22,1
Apidae,Tetralonia julliani,18,1
Apidae,Tetralonia nana,10,1
Apidae,Tetralonia salicariae,NA,1
Apidae,Xenoglossa angustior,NA,1
Apidae,Xenoglossa crassidentata,NA,1
Apidae,Xenoglossa patricia,NA,1
Apidae,Xenoglossa strenua,NA,1
Apidae,Xenoglossoides eriocarpi,11,1
