"","species","total_area"
"216","Andrena villipes",115872916715.944
"217","Andrena virginiana",5288385688782.46
"218","Andrena viridescens",5786061499243.98
"219","Andrena vulpecula",838596676634.525
"220","Andrena w-scripta",22543061664427.8
"221","Andrena wellesleyana",4583684287699.61
"222","Andrena wilkella",28272299018488.7
"223","Andrena wilmattae",4858837951994.99
"224","Andrena ziziae",6494906729578.55
"225","Anthidiellum notatum",15309690987192.1
"226","Anthidium oblongatum",32958942406999.9
"227","Anthophora aestivalis",12425961600920.7
"228","Anthophora agama",3251988568929.73
"229","Anthophora atriceps",929604698429.269
"230","Anthophora atroalba",11195740711158.5
"231","Anthophora bimaculata",20527338957130
"232","Anthophora femorata",446884911727.921
"233","Anthophora furcata",36202854485223.7
"234","Anthophora hispanica",180085848662.999
"235","Anthophora leucophaea",106495239351.618
"236","Anthophora plumipes",60330514331584.6
"237","Anthophora podagra",7066393109951.74
"238","Anthophora quadrimaculata",15090970190689.2
"239","Anthophora retusa",20383989460493.9
"240","Anthophora terminalis",58004562187653.3
"241","Anthophora walshii",5573497107819.39
"242","Augochlora pura",12227321754336.6
"243","Augochlorella aurata",16191472276037.9
"244","Augochloropsis metallica",14278182561150
"245","Bombus affinis",12056139897077.3
"246","Bombus alpinus",10387721217680.3
"247","Bombus argillaceus",10210274041402.7
"248","Bombus armeniacus",14940151981669
"249","Bombus auricomus",16928618916987.6
"250","Bombus balteatus",174339507748236
"251","Bombus bimaculatus",14506558493211
"252","Bombus borealis",28998656976524.4
"253","Bombus brodmannicus",146397735.327182
"254","Bombus confusus",14374044734103.3
"255","Bombus cullumanus",26189564458327.7
"256","Bombus distinguendus",94166530737542.9
"257","Bombus fervidus",26881678216117.5
"258","Bombus fragrans",14179197755654.5
"259","Bombus frigidus",48766979715578.6
"260","Bombus griseocollis",18940273082788.6
"261","Bombus haematurus",7669760032084.4
"262","Bombus hortorum",104148526431609
"263","Bombus humilis",47523398535635.4
"264","Bombus hypnorum",219390503984377
"265","Bombus impatiens",20683646887286.8
"266","Bombus incertus",227697418536.592
"267","Bombus kirbiellus",22167757967359.2
"268","Bombus lapidarius",55849443943210.3
"269","Bombus lapponicus",77336319549045.8
"270","Bombus lucorum",74281489433795.9
"271","Bombus melanurus",12756983462155.9
"272","Bombus mendax",472250933253.696
"273","Bombus mesomelas",4753314779188.85
"274","Bombus monticola",13208882295875.9
"275","Bombus mucidus",1112517792828.01
"276","Bombus muscorum",64557722697918.6
"277","Bombus niveatus",2394371486272.13
"278","Bombus pascuorum",75534113450248.2
"279","Bombus pensylvanicus",17902865057539.2
"280","Bombus perplexus",36194242705965.5
"281","Bombus pomorum",8535264746003.59
"282","Bombus pratorum",36791566414865.9
"283","Bombus ruderarius",31777347640839.6
"284","Bombus ruderatus",87811006186606
"285","Bombus rufocinctus",34868542649579.4
"286","Bombus sandersoni",18644581371110.3
"287","Bombus sichelii",49688659591615
"288","Bombus soroeensis",55115355154115.2
"289","Bombus sporadicus",61597805811865.4
"290","Bombus subterraneus",77450751174836.7
"291","Bombus sylvarum",49151568164625.8
"292","Bombus ternarius",35384352230435.5
"293","Bombus terrestris",140453031578357
"294","Bombus terricola",35654699740824
"295","Bombus vagans",24777558205918.8
"296","Bombus veteranus",35128439871471.5
"297","Bombus wurflenii",16529880534779.7
"298","Bombus zonatus",2292775431134.55
"299","Calliopsis andreniformis",11024607469800.2
"300","Camptopoeum friesei",500677212137.764
"301","Camptopoeum frontale",2328842401665.52
"302","Camptopoeum sacrum",22963336116.0538
"303","Camptopoeum variegatum",323710793680.962
"304","Ceratina calcarata",9543188778048.03
"305","Ceratina chalcites",6939453550314.45
"306","Ceratina chalybea",5299648988007.29
"307","Ceratina cucurbitina",9008199224994.08
"308","Ceratina cyanea",13166649571996.7
"309","Ceratina dupla",9106437276562.81
"310","Ceratina mikmaqi",4822625015882.29
"311","Ceratina strenua",8650737938040.18
"312","Chelostoma rapunculi",41933098120484.2
"313","Clavipanurgus punctiventris",63370660081.3132
"314","Clavipanurgus sculpturatus",145223344482.305
"315","Colletes acutus",77977129873.8607
"316","Colletes albomaculatus",5337169689537.38
"317","Colletes americanus",8124830938062.65
"318","Colletes compactus",17084355169178.2
"319","Colletes consors",23073136890041.3
"320","Colletes daviesanus",43102578659708
"321","Colletes hederae",6522043511997.05
"322","Colletes hyalinus",24671733642392.1
"323","Colletes inaequalis",14927837279621
"324","Colletes kincaidii",42669698929300.9
