bee_species,bee_genus,bee_family,range_size_m2,pollen_genera_count,pollen_families_count,diet_binary_genus,diet_binary_family,no_records_in_Dorey,bee_family_n,bee_species_original_wood
Dufourea monardae,Dufourea,Halictidae,2810652150030,1,1,genus specialist,specialist,181,Halictidae (n = 72),Dufourea monardae
Eucera taurica,Eucera,Apidae,2880626887982,3,1,generalist,specialist,45,Apidae (n = 83),Eucera taurica
Andrena spreta,Andrena,Andrenidae,2937112484525,8,4,generalist,generalist,89,Andrenidae (n = 168),Andrena spreta
Andrena lagopus,Andrena,Andrenidae,2976934213493,1,1,genus specialist,specialist,633,Andrenidae (n = 168),Andrena lagopus
Andrena colletiformis,Andrena,Andrenidae,3077373179160,3,1,generalist,specialist,71,Andrenidae (n = 168),Andrena colletiformis
Andrena nana,Andrena,Andrenidae,3175060603127,8,3,generalist,generalist,310,Andrenidae (n = 168),Andrena nana
Lasioglossum convexiusculum,Lasioglossum,Halictidae,3321593046895,1,1,genus specialist,specialist,131,Halictidae (n = 72),Lasioglossum convexiusculum
Lasioglossum paradmirandum,Lasioglossum,Halictidae,3352169865872,13,10,generalist,generalist,348,Halictidae (n = 72),Lasioglossum paradmirandum
Andrena synadelpha,Andrena,Andrenidae,3411109185900,16,13,generalist,generalist,339,Andrenidae (n = 168),Andrena synadelpha
Eucera nigrilabris,Eucera,Apidae,3500487500698,10,4,generalist,generalist,106,Apidae (n = 83),Eucera nigrilabris
Lasioglossum pauperatum,Lasioglossum,Halictidae,3670188195685,10,9,generalist,generalist,129,Halictidae (n = 72),Lasioglossum pauperatum
Andrena cinerea,Andrena,Andrenidae,3815342364593,3,1,generalist,specialist,112,Andrenidae (n = 168),Andrena cinerea
Osmia conjuncta,Osmia,Megachilidae,3847750917234,6,4,generalist,generalist,482,Megachilidae (n = 20),Osmia conjuncta
Lasioglossum prasinum,Lasioglossum,Halictidae,3873196161410,5,5,generalist,generalist,346,Halictidae (n = 72),Lasioglossum prasinum
Lasioglossum acuminatum,Lasioglossum,Halictidae,3951266817271,11,10,generalist,generalist,940,Halictidae (n = 72),Lasioglossum acuminatum
Andrena variabilis,Andrena,Andrenidae,4084583343367,12,6,generalist,generalist,116,Andrenidae (n = 168),Andrena variabilis
Colletes thoracicus,Colletes,Colletidae,4308574418427,8,7,generalist,generalist,1642,Colletidae (n = 10),Colletes thoracicus
Andrena robertsonii,Andrena,Andrenidae,4426901611308,6,3,generalist,generalist,780,Andrenidae (n = 168),Andrena robertsonii
Andrena afzeliella,Andrena,Andrenidae,4434979651657,16,9,generalist,generalist,555,Andrenidae (n = 168),Andrena afzeliella
Lasioglossum anomalum,Lasioglossum,Halictidae,4445842003872,7,6,generalist,generalist,609,Halictidae (n = 72),Lasioglossum anomalum
Andrena bradleyi,Andrena,Andrenidae,4514316028852,1,1,genus specialist,specialist,737,Andrenidae (n = 168),Andrena bradleyi
Andrena wellesleyana,Andrena,Andrenidae,4583684287700,1,1,genus specialist,specialist,187,Andrenidae (n = 168),Andrena wellesleyana
Andrena integra,Andrena,Andrenidae,4618522283382,1,1,genus specialist,specialist,249,Andrenidae (n = 168),Andrena integra
Bombus mesomelas,Bombus,Apidae,4753314779189,36,15,generalist,generalist,1943,Apidae (n = 83),Bombus mesomelas
Andrena angustior,Andrena,Andrenidae,4789578214492,23,14,generalist,generalist,1405,Andrenidae (n = 168),Andrena angustior
Andrena ceanothi,Andrena,Andrenidae,4800474124523,8,7,generalist,generalist,453,Andrenidae (n = 168),Andrena ceanothi
Ceratina mikmaqi,Ceratina,Apidae,4822625015882,22,9,generalist,generalist,4024,Apidae (n = 83),Ceratina mikmaqi
Lasioglossum subviridatum,Lasioglossum,Halictidae,4921955176318,14,10,generalist,generalist,1621,Halictidae (n = 72),Lasioglossum subviridatum
Andrena varians,Andrena,Andrenidae,4946718230966,12,8,generalist,generalist,607,Andrenidae (n = 168),Andrena varians
Andrena rugosa,Andrena,Andrenidae,4989083268498,14,12,generalist,generalist,1962,Andrenidae (n = 168),Andrena rugosa
Andrena florea,Andrena,Andrenidae,5016610857937,1,1,genus specialist,specialist,3341,Andrenidae (n = 168),Andrena florea
Andrena fulvicornis,Andrena,Andrenidae,5025686534350,5,2,generalist,generalist,66,Andrenidae (n = 168),Andrena fulvicornis
Eucera clypeata,Eucera,Apidae,5129531167993,18,9,generalist,generalist,63,Apidae (n = 83),Eucera clypeata
Andrena virginiana,Andrena,Andrenidae,5288385688782,5,3,generalist,generalist,380,Andrenidae (n = 168),Andrena virginiana
Andrena niveata,Andrena,Andrenidae,5321590783867,5,3,generalist,generalist,128,Andrenidae (n = 168),Andrena niveata
Andrena arabis,Andrena,Andrenidae,5331187564309,4,1,generalist,specialist,915,Andrenidae (n = 168),Andrena arabis
Andrena aeneiventris,Andrena,Andrenidae,5363483009358,1,1,genus specialist,specialist,108,Andrenidae (n = 168),Andrena aeneiventris
Lasioglossum lustrans,Lasioglossum,Halictidae,5475268919247,4,1,generalist,specialist,429,Halictidae (n = 72),Lasioglossum lustrans
Lasioglossum parvulum,Lasioglossum,Halictidae,5509256235199,14,12,generalist,generalist,2579,Halictidae (n = 72),Lasioglossum parvulum
Andrena bisalicis,Andrena,Andrenidae,5516233921261,2,2,generalist,generalist,722,Andrenidae (n = 168),Andrena bisalicis
Andrena pandellei,Andrena,Andrenidae,5612660611307,1,1,genus specialist,specialist,591,Andrenidae (n = 168),Andrena pandellei
Andrena spiraeana,Andrena,Andrenidae,5684970796257,12,8,generalist,generalist,678,Andrenidae (n = 168),Andrena spiraeana
