"","species_original","species","plant_fam_count","plant_gen_count","bee_family","bee_genus","...1","total_area","area","log_fam","log_gen","log_area","bee_family_n","area_ha","log_area_ha","area_km","log_area_km"
"37","Andrena ceanothi","Andrena ceanothi",7,8,"Andrenidae","Andrena",45,4800474124522.62,4800474124522.62,1.94591014905531,2.07944154167984,29.1997358049066,"Andrenidae (n = 168)",480047412.452262,19.9893954329304,4800474.12452262,15.3842252469423
"38","Andrena chrysosceles","Andrena chrysosceles",12,23,"Andrenidae","Andrena",47,11574793439335.2,11574793439335.2,2.484906649788,3.13549421592915,30.0798508703278,"Andrenidae (n = 168)",1157479343.93352,20.8695104983516,11574793.4393352,16.2643403123635
"39","Andrena cineraria","Andrena cineraria",16,25,"Andrenidae","Andrena",48,39807613942862.6,39807613942862.6,2.77258872223978,3.2188758248682,31.3150793150195,"Andrenidae (n = 168)",3980761394.28626,22.1047389430433,39807613.9428626,17.4995687570552
"40","Andrena cinerea","Andrena cinerea",1,3,"Andrenidae","Andrena",49,3815342364593.45,3815342364593.45,0,1.09861228866811,28.9700515183405,"Andrenidae (n = 168)",381534236.459345,19.7597111463643,3815342.36459345,15.1545409603762
"41","Andrena clarkella","Andrena clarkella",1,1,"Andrenidae","Andrena",50,75854003954088.4,75854003954088.4,0,0,31.9598316081227,"Andrenidae (n = 168)",7585400395.40884,22.7494912361465,75854003.9540884,18.1443210501584
"42","Andrena colletiformis","Andrena colletiformis",1,3,"Andrenidae","Andrena",52,3077373179160.25,3077373179160.25,0,1.09861228866811,28.7550974851097,"Andrenidae (n = 168)",307737317.916025,19.5447571131335,3077373.17916025,14.9395869271454
"43","Andrena commoda","Andrena commoda",9,11,"Andrenidae","Andrena",55,10953779542543.8,10953779542543.8,2.19722457733622,2.39789527279837,30.0247056763384,"Andrenidae (n = 168)",1095377954.25438,20.8143653043622,10953779.5425438,16.2091951183741
"44","Andrena crataegi","Andrena crataegi",10,13,"Andrenidae","Andrena",58,16358767572409.7,16358767572409.7,2.30258509299405,2.56494935746154,30.4257851125058,"Andrenidae (n = 168)",1635876757.24097,21.2154447405296,16358767.5724097,16.6102745545415
"45","Andrena cressonii","Andrena cressonii",11,15,"Andrenidae","Andrena",59,13621701285586.5,13621701285586.5,2.39789527279837,2.70805020110221,30.2426853196852,"Andrenidae (n = 168)",1362170128.55865,21.032344947709,13621701.2855865,16.4271747617209
"46","Andrena decipiens","Andrena decipiens",3,3,"Andrenidae","Andrena",60,2537316941625.94,2537316941625.94,1.09861228866811,1.09861228866811,28.562128316463,"Andrenidae (n = 168)",253731694.162594,19.3517879444868,2537316.94162594,14.7466177584987
"47","Andrena denticulata","Andrena denticulata",3,11,"Andrenidae","Andrena",61,39606382374651.6,39606382374651.6,1.09861228866811,2.39789527279837,31.3100113922794,"Andrenidae (n = 168)",3960638237.46516,22.0996710203032,39606382.3746516,17.4945008343151
"48","Andrena djelfensis","Andrena djelfensis",2,4,"Andrenidae","Andrena",63,188179962156.662,188179962156.662,0.693147180559945,1.38629436111989,25.9606645874232,"Andrenidae (n = 168)",18817996.2156662,16.750324215447,188179.962156662,12.1451540294589
"49","Andrena dorsata","Andrena dorsata",18,42,"Andrenidae","Andrena",64,13787807360761.5,13787807360761.5,2.89037175789616,3.73766961828337,30.2548057929713,"Andrenidae (n = 168)",1378780736.07615,21.0444654209951,13787807.3607615,16.439295235007
"50","Andrena elata","Andrena elata",1,1,"Andrenidae","Andrena",66,1340331153.97415,1340331153.97415,0,0,21.0161825502091,"Andrenidae (n = 168)",134033.115397415,11.805842178233,1340.33115397415,7.20067199224487
"51","Andrena erigeniae","Andrena erigeniae",2,2,"Andrenidae","Andrena",67,6026169930415.04,6026169930415.04,0.693147180559945,0.693147180559945,29.4271327557769,"Andrenidae (n = 168)",602616993.041504,20.2167923838007,6026169.93041504,15.6116221978126
"52","Andrena erythrogaster","Andrena erythrogaster",2,2,"Andrenidae","Andrena",68,11716883432471.7,11716883432471.7,0.693147180559945,0.693147180559945,30.0920519459837,"Andrenidae (n = 168)",1171688343.24717,20.8817115740075,11716883.4324717,16.2765413880194
"53","Andrena fabrella","Andrena fabrella",1,2,"Andrenidae","Andrena",69,658347790936.538,658347790936.538,0,0.693147180559945,27.2129991862886,"Andrenidae (n = 168)",65834779.0936538,18.0026588143125,658347.790936538,13.3974886283244
"54","Andrena farinosa","Andrena farinosa",1,2,"Andrenidae","Andrena",71,33909328716.3457,33909328716.3457,0,0.693147180559945,24.2469559968498,"Andrenidae (n = 168)",3390932.87163457,15.0366156248737,33909.3287163457,10.4314454388856
"55","Andrena ferrugineicrus","Andrena ferrugineicrus",1,4,"Andrenidae","Andrena",72,593853542361.144,593853542361.144,0,1.38629436111989,27.1098985642262,"Andrenidae (n = 168)",59385354.2361144,17.89955819225,593853.542361144,13.2943880062619
"56","Andrena flavipes","Andrena flavipes",31,86,"Andrenidae","Andrena",73,28318808488055.5,28318808488055.5,3.43398720448515,4.45434729625351,30.9745473107071,"Andrenidae (n = 168)",2831880848.80555,21.7642069387309,28318808.4880555,17.1590367527428
"57","Andrena florea","Andrena florea",1,1,"Andrenidae","Andrena",74,5016610857937.41,5016610857937.41,0,0,29.2437756937298,"Andrenidae (n = 168)",501661085.793741,20.0334353217536,5016610.85793741,15.4282651357655
"58","Andrena florentina","Andrena florentina",1,1,"Andrenidae","Andrena",75,563289720904.057,563289720904.057,0,0,27.0570599346849,"Andrenidae (n = 168)",56328972.0904057,17.8467195627088,563289.720904057,13.2415493767207
"59","Andrena forbesii","Andrena forbesii",11,17,"Andrenidae","Andrena",76,15200710920391.5,15200710920391.5,2.39789527279837,2.83321334405622,30.3523633137654,"Andrenidae (n = 168)",1520071092.03915,21.1420229417893,15200710.9203915,16.5368527558012
"60","Andrena frigida","Andrena frigida",2,2,"Andrenidae","Andrena",78,29816302812069.9,29816302812069.9,0.693147180559945,0.693147180559945,31.0260764340799,"Andrenidae (n = 168)",2981630281.20699,21.8157360621037,29816302.8120699,17.2105658761156
"61","Andrena fucata","Andrena fucata",9,17,"Andrenidae","Andrena",79,39942303964544.8,39942303964544.8,2.19722457733622,2.83321334405622,31.3184571278945,"Andrenidae (n = 168)",3994230396.45448,22.1081167559184,39942303.9645448,17.5029465699303
"62","Andrena fulica","Andrena fulica",2,4,"Andrenidae","Andrena",80,221061215932.629,221061215932.629,0.693147180559945,1.38629436111989,26.1217054952784,"Andrenidae (n = 168)",22106121.5932629,16.9113651233022,221061.215932629,12.3061949373141
"63","Andrena fulva","Andrena fulva",12,17,"Andrenidae","Andrena",81,7925040387318.83,7925040387318.83,2.484906649788,2.83321334405622,29.7010485318706,"Andrenidae (n = 168)",792504038.731883,20.4907081598944,7925040.38731883,15.8855379739063
