bee_species,bee_genus,bee_family,eoo_size_m2,count_in_Dorey,diet_families_rareCount,diet_genera_rareCount,diet_binary
Eucera nigrifacies,Eucera,Apidae,2362494317461,50,1,4,Specialist
Andrena asteroides,Andrena,Andrenidae,795594563367,51,1,NA,Specialist
Andrena freygessneri,Andrena,Andrenidae,120424388057,51,8.719384,NA,Generalist
Andrena symphyti,Andrena,Andrenidae,2548940551341,51,1,NA,Specialist
Andrena nasuta,Andrena,Andrenidae,2798654851248,52,1,NA,Specialist
Bombus fragrans,Bombus,Apidae,14179197755655,52,5.698174,10.625,Generalist
Andrena ranunculorum,Andrena,Andrenidae,1171334537963,53,5.556337,6.0996,Generalist
Pseudoanthidium scapulare,Pseudoanthidium,Megachilidae,2431030751762,54,1.181818,NA,Generalist
Andrena tonkaworum,Andrena,Andrenidae,726907793756,55,1.555556,NA,Generalist
Anthidium taeniatum,Anthidium,Megachilidae,3659650599221,55,5.415954,NA,Generalist
Megachile flabellipes,Megachile,Megachilidae,210003214789,55,1,NA,Specialist
Dasypoda spinigera,Dasypoda,Melittidae,138660889229,56,1,NA,Specialist
Hylaeus duckei,Hylaeus,Colletidae,4199945949638,58,2.608908,NA,Generalist
Andrena pallitarsis,Andrena,Andrenidae,1200186414170,59,1,NA,Specialist
Chalepogenus cocuccii,Chalepogenus,Apidae,195684994614,59,6.249686,NA,Generalist
Colletes rufotibialis,Colletes,Colletidae,47243479106,60,3.999926,NA,Generalist
Osmia anceyi,Osmia,Megachilidae,369059301584,62,1,NA,Specialist
Anthophora atroalba,Anthophora,Apidae,11195740711159,63,8.439701,17.552,Generalist
Eucera clypeata,Eucera,Apidae,5129531167993,63,7.897012,13.738,Generalist
Lipotriches hylaeoides,Lipotriches,Halictidae,7370040965998,64,1,NA,Specialist
Colletes inexpectatus,Colletes,Colletidae,2891194350865,65,1,NA,Specialist
Andrena fulvicornis,Andrena,Andrenidae,5025686534350,66,1.999967,6.9999,Generalist
Rhodanthidium infuscatum,Rhodanthidium,Megachilidae,676050430017,67,9.850375,NA,Generalist
Hoplitis cristatula,Hoplitis,Megachilidae,407037478220,70,1,NA,Specialist
Colletes lacunatus,Colletes,Colletidae,3445444593081,71,4,NA,Generalist
Colletes nasutus,Colletes,Colletidae,2996276857205,71,1,NA,Specialist
Andrena fabrella,Andrena,Andrenidae,658347790937,72,1,2,Specialist
Colletes albomaculatus,Colletes,Colletidae,5337169689537,72,5.750953,NA,Generalist
Chelostoma emarginatum,Chelostoma,Megachilidae,4822355288386,72,1,NA,Specialist
Andrena helianthiformis,Andrena,Andrenidae,2653838288326,73,1.951424,NA,Generalist
Osmia cerinthidis,Osmia,Megachilidae,5846220213439,74,3.4316,NA,Generalist
Protosmia minutula,Protosmia,Megachilidae,353370461972,74,2,NA,Generalist
Osmia ligurica,Osmia,Megachilidae,2399785446714,77,2.461703,NA,Generalist
Peponapis michelbacherorum,Peponapis,Apidae,68396361598,78,1,NA,Specialist
Andrena senecionis,Andrena,Andrenidae,855051855646,79,1,2.9999,Specialist
Hylaeus glacialis,Hylaeus,Colletidae,308664876362,79,7.800432,NA,Generalist
Bombus niveatus,Bombus,Apidae,2394371486272,82,5.559572,14.911,Generalist
Halictus pollinosus,Halictus,Halictidae,9556530149800,83,5,7,Generalist
Chelostoma foveolatum,Chelostoma,Megachilidae,1866962378707,84,1,NA,Specialist
Andrena montana,Andrena,Andrenidae,412220390755,85,11.166126,NA,Generalist
Panurgus maroccanus,Panurgus,Andrenidae,94985061056,86,1,3.9982,Specialist
Lasioglossum clypeare,Lasioglossum,Halictidae,3716278923787,86,1,NA,Specialist
Andrena suerinensis,Andrena,Andrenidae,2297052105068,87,1,NA,Specialist
Patellapis communis,Patellapis,Halictidae,103924536640,87,3.699109,NA,Generalist
Andrena spreta,Andrena,Andrenidae,2937112484525,89,3.744163,7.3321,Generalist
Anthophora diversipes,Anthophora,Apidae,111416698778,89,9.239055,NA,Generalist
Hoplitis benoisti,Hoplitis,Megachilidae,309278665826,89,1.760362,NA,Generalist
Andrena allosa,Andrena,Andrenidae,210436387442,90,7.548516,NA,Generalist
Colletes hylaeiformis,Colletes,Colletidae,6180836921869,90,1,NA,Specialist
Osmia scutellaris,Osmia,Megachilidae,881640016660,91,1,NA,Specialist
Andrena tenuistriata,Andrena,Andrenidae,1147824240063,97,2.199727,3.9202,Generalist
Euryglossa morrisoni,Euryglossa,Colletidae,3508822100,97,1,NA,Specialist
Chelostoma incisulum,Chelostoma,Megachilidae,197495652138,99,1.997739,NA,Generalist
Andrena simillima,Andrena,Andrenidae,1327210382748,100,8.980198,NA,Generalist
Andrena saxonica,Andrena,Andrenidae,2123957892346,101,1,NA,Specialist
Andrena afrensis,Andrena,Andrenidae,254103516232,102,6.482625,NA,Generalist
Eucera nigrilabris,Eucera,Apidae,3500487500698,106,3.588234,8.3831,Generalist
Andrena decipiens,Andrena,Andrenidae,2537316941626,107,3,3,Generalist
Othinosmia schultzei,Othinosmia,Megachilidae,222570588084,107,1,NA,Specialist
Andrena aeneiventris,Andrena,Andrenidae,5363483009358,108,1,1.9995,Specialist
Diadasia angusticeps,Diadasia,Apidae,322079727859,109,1,NA,Specialist
Andrena cinerea,Andrena,Andrenidae,3815342364593,112,1,2.4565,Specialist
Lasioglossum euboeense,Lasioglossum,Halictidae,2098078339540,112,8.654125,NA,Generalist
Colletes mlokossewiczi,Colletes,Colletidae,7894813507375,114,1,NA,Specialist
Andrena melliventris,Andrena,Andrenidae,2335085645061,115,1.914046,NA,Generalist
Andrena variabilis,Andrena,Andrenidae,4084583343367,116,4.963184,10.858,Generalist
Andrena isocomae,Andrena,Andrenidae,819520141660,117,1.999229,NA,Generalist
Perdita floridensis,Perdita,Andrenidae,324107697428,117,1,NA,Specialist
