beeFamily,species,Loads,dietFamily,area,count_in_Dorey
Apidae,Eucera eucnemidea,17,2,383060731321,10
Apidae,Eucera frater,10,3,4491868790681,925
Apidae,Eucera furfurea,10,1,359598016052,12
Apidae,Eucera interrupta,22,1,9377715064723,285
Apidae,Eucera longicornis,17,2,27860858083893,7664
Apidae,Eucera nigrescens,20,2,7837259707323,3543
Apidae,Eucera nigrifacies,10,1,2362494317461,50
Apidae,Eucera nigrilabris,17,3,3500487500698,106
Apidae,Eucera notata,34,2,651974936512,17
Apidae,Eucera primiveris,10,3,809687653273,320
Apidae,Eucera proxima,20,2,2953898430336,24
Apidae,Eucera taurica,18,1,2880626887982,45
Apidae,Euglossa cordata,175,7,12934927758378,3635
Apidae,Eulaema nigrita,45,5,12479736551187,2812
Apidae,Melipona mimetica,251,13,15601441448,6
Apidae,Melissodes desponsus,17,1,10426147399682,2673
Apidae,Melissodes illatus,13,1,7838974608863,323
Apidae,Melissodes subillatus,10,1,10986367809648,372
Apidae,Melitoma segmentaria,NA,1,20738198761248,765
Apidae,Melitomella murihirta,NA,1,17711046.48,24
Apidae,Peponapis michelbacherorum,NA,1,68396361598,78
Apidae,Peponapis pruinosa,NA,1,14113834601017,4477
Apidae,Peponapis utahensis,NA,1,2212017995553,312
Apidae,Ptilothrix bombiformis,NA,1,4623740559760,4658
Apidae,Ptilothrix plumata,NA,1,2455513532075,29
Apidae,Xenoglossa angustior,NA,1,2596331384088,232
Apidae,Xenoglossa patricia,NA,1,1081131321701,124
Apidae,Xenoglossa strenua,NA,1,8962642127129,515
Apidae,Xylocopa virginica,13,7,33866791828875,51392
Colletidae,Colletes abeillei,46,2,1362856231153,47
Colletidae,Colletes acutus,18,3,77977129874,13
Colletidae,Colletes albomaculatus,34,5,5337169689537,72
Colletidae,Colletes brevigena,14,6,1008399671504,9
Colletidae,Colletes capensis,27,3,959916972968,384
Colletidae,Colletes carinatus,21,3,851314103836,12
Colletidae,Colletes cariniger,25,1,938824314031,19
Colletidae,Colletes caskanus,17,5,559928845251,14
Colletidae,Colletes collaris,12,2,2584395474026,120
Colletidae,Colletes consors,12,4,23073136890041,445
Colletidae,Colletes cunicularius,44,6,31551757131322,16416
Colletidae,Colletes daviesanus,34,1,43102578659708,10506
Colletidae,Colletes dorsalis,15,4,849519742.8,7
Colletidae,Colletes dusmeti,16,5,59261098270,5
Colletidae,Colletes eous,40,9,7134425586309,44
Colletidae,Colletes floralis,15,7,32448604679947,1390
Colletidae,Colletes fodiens,33,1,6630716831270,1114
Colletidae,Colletes foveolaris,37,2,1184898191023,15
Colletidae,Colletes gallicus,34,4,1503215308729,37
Colletidae,Colletes halophilus,27,2,2590748937861,740
Colletidae,Colletes hederae,41,3,6522043511997,12815
Colletidae,Colletes hethiticus,18,3,120194545595,40
Colletidae,Colletes hylaeiformis,32,1,6180836921869,90
Colletidae,Colletes impunctatus,37,7,89047488008629,892
Colletidae,Colletes inaequalis,21,4,14927837279621,5291
Colletidae,Colletes inexpectatus,10,1,2891194350865,65
Colletidae,Colletes kincaidii,12,5,42669698929301,8155
Colletidae,Colletes lacunatus,15,4,3445444593081,71
Colletidae,Colletes ligatus,25,2,1385603982663,9
Colletidae,Colletes maidli,26,6,2021338397743,21
Colletidae,Colletes marginatus,50,5,16802996705187,891
Colletidae,Colletes mlokossewiczi,39,1,7894813507375,114
Colletidae,Colletes nanus,24,4,1938128732693,39
Colletidae,Colletes nasutus,32,1,2996276857205,71
Colletidae,Colletes nigricans,64,8,1246748511264,418
Colletidae,Colletes perezi,33,7,2313854658499,25
Colletidae,Colletes petalostemonis,10,1,2028783087206,485
Colletidae,Colletes pumilus,21,4,1904879551660,34
Colletidae,Colletes punctatus,14,1,882769501879,11
Colletidae,Colletes rufotibialis,16,4,47243479106,60
Colletidae,Colletes sierrensis,31,1,15203077438,30
Colletidae,Colletes similis,50,3,22376889473096,2830
Colletidae,Colletes simulans,10,1,16604808935702,1938
Colletidae,Colletes succinctus,44,3,9091575108556,3487
Colletidae,Colletes thoracicus,10,6,4308574418427,1642
Colletidae,Colletes tuberculatus,32,1,1496102351123,9
Colletidae,Colletes validus,10,1,2691490961173,392
Colletidae,Euryglossa aureophila,15,1,453436870.9,27
Colletidae,Euryglossa morrisoni,15,1,3508822100,97
Colletidae,Hylaeus alpinus,30,9,297866518897,418
Colletidae,Hylaeus angustatus,30,11,12923333932449,2130
Colletidae,Hylaeus annulatus,30,8,67706937111046,7275
Colletidae,Hylaeus brevicornis,30,4,20230998258347,6101
Colletidae,Hylaeus clypearis,30,1,4343782809666,443
Colletidae,Hylaeus communis,30,12,21413602758505,20312
Colletidae,Hylaeus confusus,30,6,41430102936769,13406
Colletidae,Hylaeus cornutus,30,2,8874804129781,576
Colletidae,Hylaeus crassanus,30,5,239394626124,45
Colletidae,Hylaeus dilatatus,30,8,10651267824641,2585
Colletidae,Hylaeus duckei,30,1,4199945949638,58
Colletidae,Hylaeus gibbus,30,6,15120610385455,1236
Colletidae,Hylaeus glacialis,18,6,308664876362,79
Colletidae,Hylaeus gredleri,30,2,11479916159307,1852
Colletidae,Hylaeus hyalinatus,30,11,16276747098953,10659
Colletidae,Hylaeus incongruus,18,10,13711983104649,1665
Colletidae,Hylaeus kahri,30,2,5189097315049,386
Colletidae,Hylaeus leptocephalus,30,4,35434877452214,1762
Colletidae,Hylaeus moricei,18,10,6332960478928,49
Colletidae,Hylaeus nigritus,30,2,13940951744813,2816
Colletidae,Hylaeus nivalis,30,7,249999797358,277
Colletidae,Hylaeus paulus,30,4,23265580172527,166
Colletidae,Hylaeus pectoralis,30,6,28116527337648,1707
Colletidae,Hylaeus pfankuchi,30,2,23350524009678,222
Colletidae,Hylaeus pictipes,30,6,10906561010206,1058
Colletidae,Hylaeus pilosulus,30,1,190062046081,45
Colletidae,Hylaeus rinki,30,3,5873863579257,1560
Colletidae,Hylaeus signatus,30,1,18633122883257,3561
Colletidae,Hylaeus sinuatus,30,1,9980456075678,1225
Colletidae,Hylaeus styriacus,30,1,8072280474065,761
Colletidae,Hylaeus taeniolatus,30,3,7048495095082,282
Colletidae,Hylaeus tyrolensis,30,1,2579192410697,120
Colletidae,Hylaeus variegatus,30,3,17932074231847,1396
Colletidae,Scrapter niger,24,3,334696121529,143
Colletidae,Scrapter nitidus,34,1,846632091894,468
Halictidae,Agapostemon sericeus,17,6,11680770531734,3271
Halictidae,Agapostemon virescens,12,4,19353479959340,23574
Halictidae,Augochlora pura,17,10,12227321754337,18202
Halictidae,Augochlorella aurata,28,13,16191472276038,37260
Halictidae,Dufourea alpina,50,4,435925388138,488
Halictidae,Dufourea dentiventris,NA,1,5934138371765,2573
Halictidae,Dufourea halictula,NA,1,2604932044615,386
Halictidae,Dufourea inermis,NA,1,4774441706505,407
Halictidae,Dufourea minuta,NA,1,9585494145180,459
Halictidae,Dufourea monardae,10,1,2810652150030,181
Halictidae,Dufourea paradoxa,46,8,1977765208625,240
Halictidae,Halictus confusus,26,11,36642830443612,15111
Halictidae,Halictus crenicornis,11,12,355990686610,13
Halictidae,Halictus ligatus,34,1,20097571788192,44196
Halictidae,Halictus maculatus,13,5,17399740904665,3022
Halictidae,Halictus pollinosus,10,5,9556530149800,83
Halictidae,Halictus quadricinctus,25,4,25931500856191,1391
Halictidae,Halictus rubicundus,16,9,100874580987098,28745
Halictidae,Halictus scabiosae,33,3,10465687163977,14952
Halictidae,Halictus subauratus,21,10,19195261076370,3242
Halictidae,Halictus tumulorum,26,11,48740774592342,26505
Halictidae,Lasioglossum acuminatum,20,8,3951266817271,940
Halictidae,Lasioglossum albipes,12,8,11653643547744,16432
Halictidae,Lasioglossum albocinctum,22,5,1834453171652,161
Halictidae,Lasioglossum anomalum,12,6,4445842003872,609
Halictidae,Lasioglossum bimaculatum,15,3,581742574182,23
Halictidae,Lasioglossum brevicorne,26,1,7929014715069,618
Halictidae,Lasioglossum calceatum,43,11,43079149959610,31796
Halictidae,Lasioglossum cinctipes,22,7,11528334886551,1259
Halictidae,Lasioglossum clypeare,16,1,3716278923787,86
Halictidae,Lasioglossum convexiusculum,14,1,3321593046895,131
Halictidae,Lasioglossum coriaceum,24,5,10164600318019,4670
Halictidae,Lasioglossum corvinum,12,1,1655069803473,14
Halictidae,Lasioglossum costulatum,32,2,10531940881623,576
Halictidae,Lasioglossum cressonii,28,8,14987256259695,7897
Halictidae,Lasioglossum cupromicans,23,12,2336281543479,1299
Halictidae,Lasioglossum euboeense,13,4,2098078339540,112
Halictidae,Lasioglossum foxii,14,3,13693349603821,1209
Halictidae,Lasioglossum fulvicorne,19,6,22056919201700,13225
Halictidae,Lasioglossum glabriusculum,25,10,4325027887237,2103
Halictidae,Lasioglossum hitchensi,18,9,5904802787786,7152
Halictidae,Lasioglossum imitatum,23,9,11846887516709,9535
Halictidae,Lasioglossum intermedium,13,6,3716717157008,257
Halictidae,Lasioglossum interruptum,26,10,5866217492685,1148
Halictidae,Lasioglossum laevigatum,18,9,6613659786533,2872
Halictidae,Lasioglossum laevissimum,19,8,16300220281539,1684
Halictidae,Lasioglossum laticeps,18,13,11025648636431,13131
Halictidae,Lasioglossum lativentre,26,3,10581644098091,2824
Halictidae,Lasioglossum leucopus,12,5,16310542495205,16272
Halictidae,Lasioglossum leucozonium,45,3,66993942601768,17030
Halictidae,Lasioglossum lineatulum,23,8,9461253862633,1731
Halictidae,Lasioglossum macoupinense,11,3,9168945674280,450
Halictidae,Lasioglossum malachurum,437,4,17643848147288,11314
Halictidae,Lasioglossum mediterraneum,19,13,975965057501,23
Halictidae,Lasioglossum monstrificum,10,7,3339175159252,415
Halictidae,Lasioglossum morio,29,13,21494792331827,30501
Halictidae,Lasioglossum nigripes,18,4,6282388160591,1470
Halictidae,Lasioglossum pallens,28,2,2296807170466,385
Halictidae,Lasioglossum paradmirandum,15,9,3352169865872,348
Halictidae,Lasioglossum paraforbesii,15,8,9306992451688,645
Halictidae,Lasioglossum parvulum,15,9,5509256235199,2579
Halictidae,Lasioglossum pauperatum,11,8,3670188195685,129
Halictidae,Lasioglossum pauxillum,74,7,11252892930055,13733
Halictidae,Lasioglossum pectorale,24,7,9093213167850,4048
Halictidae,Lasioglossum perpunctatum,12,4,9617640002194,497
Halictidae,Lasioglossum pilosum,25,10,12600084540071,12431
Halictidae,Lasioglossum prasinum,15,4,3873196161410,346
Halictidae,Lasioglossum punctatissimum,11,5,11090460528137,4525
Halictidae,Lasioglossum puncticolle,17,1,5926560766013,530
Halictidae,Lasioglossum quebecense,15,9,30832831554514,2591
Halictidae,Lasioglossum tricinctum,28,9,3209672628319,914
Halictidae,Lasioglossum versans,13,8,15323484606200,1513
Halictidae,Lasioglossum versatum,27,11,8073335906118,11759
Halictidae,Lasioglossum villosulum,46,1,55213766213178,11330
Halictidae,Lasioglossum xanthopus,27,6,17507162120681,1146
Halictidae,Lasioglossum zonulum,16,9,35242655683090,11750
Halictidae,Lipotriches cinerascens,10,1,1139402576368,25
Halictidae,Lipotriches cribrosa,10,1,1435335829069,36
Halictidae,Lipotriches hylaeoides,10,1,7370040965998,64
Halictidae,Lipotriches tanganyicensis,10,1,83653528935,9
Halictidae,Meganomia binghami,23,4,1628504260372,141
Halictidae,Patellapis communis,39,1,103924536640,87
Halictidae,Rophites algirus,24,1,6802895099268,369
Halictidae,Rophites quinquespinosus,NA,1,10948119106266,163
Halictidae,Systropha curvicornis,NA,1,4829630114878,222
Halictidae,Systropha planidens,NA,1,12428883403597,129
Megachilidae,Afranthidium carduele,35,1,762629279820,7
Megachilidae,Anthidiellum breviusculum,24,3,757292122765,10
Megachilidae,Anthidiellum strigatum,57,5,27657627164697,3320
Megachilidae,Anthidium anguliventre,20,1,3559547.75,14
Megachilidae,Anthidium cingulatum,50,5,15523740712467,263
Megachilidae,Anthidium dalmaticum,24,3,893935521.1,4
Megachilidae,Anthidium diadema,39,2,3651758211573,40
Megachilidae,Anthidium echinatum,17,5,91961683311,16
Megachilidae,Anthidium florentinum,45,7,41510662339040,2432
Megachilidae,Anthidium loti,42,3,6106016273026,165
Megachilidae,Anthidium manicatum,54,4,150868679995664,24930
Megachilidae,Anthidium montanum,35,1,325248611939,225
Megachilidae,Anthidium oblongatum,55,5,32958942407000,6030
Megachilidae,Anthidium punctatum,47,3,31732663686141,5478
Megachilidae,Anthidium septemspinosum,35,6,41565126120126,554
Megachilidae,Anthidium spiniventre,23,1,3236523462,10
Megachilidae,Anthidium taeniatum,40,3,3659650599221,55
Megachilidae,Anthidium tesselatum,19,1,71419458935,10
Megachilidae,Anthidium undulatum,27,4,706282931120,5
Megachilidae,Chelostoma aureocinctum,10,1,132296856978,12
Megachilidae,Chelostoma californicum,36,1,942362024140,780
Megachilidae,Chelostoma campanularum,34,1,24224277500058,8203
