"","species","total_area","count"
"192","Anthophora atroalba",11195740711158.5,63
"193","Anthophora bimaculata",20527338957130,1780
"194","Anthophora diversipes",111416698778.241,89
"195","Anthophora furcata",36202854485223.7,5467
"196","Anthophora plumipes",60330514331584.6,27373
"197","Anthophora quadrimaculata",15090970190689.2,3870
"198","Arhysosage cactorum",131998093777.733,210
"199","Augochlora pura",12227321754336.6,18202
"200","Augochlorella aurata",16191472276037.9,37260
"201","Bombus affinis",12056139897077.3,10076
"202","Bombus alpinus",10387721217680.3,1496
"203","Bombus argillaceus",10210274041402.7,1179
"204","Bombus armeniacus",14940151981669,45
"205","Bombus auricomus",16928618916987.6,9416
"206","Bombus balteatus",174339507748236,4118
"207","Bombus bimaculatus",14506558493211,42308
"208","Bombus borealis",28998656976524.4,7043
"209","Bombus brodmannicus",146397735.327182,9
"210","Bombus confusus",14374044734103.3,506
"211","Bombus cullumanus",26189564458327.7,126
"212","Bombus distinguendus",94166530737542.9,4387
"213","Bombus fervidus",26881678216117.5,22730
"214","Bombus fragrans",14179197755654.5,52
"215","Bombus frigidus",48766979715578.6,7393
"216","Bombus griseocollis",18940273082788.6,61793
"217","Bombus haematurus",7669760032084.4,284
"218","Bombus hortorum",104148526431609,59875
"219","Bombus humilis",47523398535635.4,18231
"220","Bombus hypnorum",219390503984377,169601
"221","Bombus impatiens",20683646887286.8,143207
"222","Bombus incertus",227697418536.592,8
"223","Bombus lapidarius",55849443943210.3,166823
"224","Bombus lapponicus",77336319549045.8,4556
"225","Bombus lucorum",74281489433795.9,87064
"226","Bombus melanurus",12756983462155.9,48
"227","Bombus mendax",472250933253.696,1265
"228","Bombus mesomelas",4753314779188.85,1943
"229","Bombus monticola",13208882295875.9,6780
"230","Bombus mucidus",1112517792828.01,992
"231","Bombus muscorum",64557722697918.6,8574
"232","Bombus niveatus",2394371486272.13,82
"233","Bombus pascuorum",75534113450248.2,307511
"234","Bombus pensylvanicus",17902865057539.2,48277
"235","Bombus perplexus",36194242705965.5,13468
"236","Bombus pomorum",8535264746003.59,647
"237","Bombus pratorum",36791566414865.9,113144
"238","Bombus ruderarius",31777347640839.6,10604
"239","Bombus ruderatus",87811006186606,3754
"240","Bombus rufocinctus",34868542649579.4,18411
"241","Bombus sichelii",49688659591615,2960
"242","Bombus soroeensis",55115355154115.2,19049
"243","Bombus sporadicus",61597805811865.4,2576
"244","Bombus subterraneus",77450751174836.7,4994
"245","Bombus sylvarum",49151568164625.8,16198
"246","Bombus ternarius",35384352230435.5,27150
"247","Bombus terrestris",140453031578357,190780
"248","Bombus terricola",35654699740824,21825
"249","Bombus vagans",24777558205918.8,22807
"250","Bombus veteranus",35128439871471.5,4414
"251","Bombus wurflenii",16529880534779.7,7767
"252","Bombus zonatus",2292775431134.55,119
"253","Camptopoeum friesei",500677212137.764,132
"254","Camptopoeum frontale",2328842401665.52,126
"255","Camptopoeum sacrum",22963336116.0538,4
"256","Capicola micheneri",146924842483.234,26
"257","Centris nitida",4435574418253.27,1072
"258","Ceratina calcarata",9543188778048.03,14476
"259","Ceratina dupla",9106437276562.81,6687
"260","Ceratina mikmaqi",4822625015882.29,4024
"261","Chalepogenus cocuccii",195684994614.266,59
"262","Chelostoma aureocinctum",132296856978.119,12
"263","Chelostoma californicum",942362024140.172,780
"264","Chelostoma campanularum",24224277500057.9,8203
"265","Chelostoma diodon",15317282523.143,14
"266","Chelostoma distinctum",12475333791160.3,903
"267","Chelostoma emarginatum",4822355288385.72,72
"268","Chelostoma florisomne",13041069667240.3,8958
"269","Chelostoma foveolatum",1866962378707.02,84
"270","Chelostoma grande",344129616303.072,344
"271","Chelostoma incisulum",197495652137.583,99
"272","Chelostoma minutum",1851610034370.58,483
"273","Chelostoma mocsaryi",118727013399.29,9
"274","Chelostoma phaceliae",1352591086066.25,563
"275","Chelostoma philadelphi",3637593158253.44,1044
"276","Chelostoma rapunculi",41933098120484.2,9111
"277","Chelostoma ventrale",1569011454486.9,6
"278","Clavipanurgus punctiventris",63370660081.3132,21
"279","Colletes abeillei",1362856231153.2,47
"280","Colletes acutus",77977129873.8607,13
"281","Colletes albomaculatus",5337169689537.38,72
"282","Colletes brevigena",1008399671504.34,9
"283","Colletes capensis",959916972968.266,384
"284","Colletes carinatus",851314103836.474,12
"285","Colletes cariniger",938824314031.293,19
"286","Colletes caskanus",559928845250.517,14
"287","Colletes collaris",2584395474025.79,120
"288","Colletes consors",23073136890041.3,445
"289","Colletes cunicularius",31551757131322.3,16416
"290","Colletes daviesanus",43102578659708,10506
"291","Colletes dorsalis",849519742.821938,7
"292","Colletes dusmeti",59261098270.3538,5
"293","Colletes eous",7134425586308.75,44
"294","Colletes floralis",32448604679946.6,1390
"295","Colletes fodiens",6630716831269.84,1114
"296","Colletes foveolaris",1184898191023.03,15
"297","Colletes gallicus",1503215308729.23,37
"298","Colletes halophilus",2590748937860.75,740
"299","Colletes hederae",6522043511997.05,12815
"300","Colletes hethiticus",120194545595.141,40
"301","Colletes hylaeiformis",6180836921868.88,90
"302","Colletes impunctatus",89047488008628.7,892
"303","Colletes inaequalis",14927837279621,5291
"304","Colletes inexpectatus",2891194350864.92,65
"305","Colletes kincaidii",42669698929300.9,8155
"306","Colletes lacunatus",3445444593080.69,71
"307","Colletes ligatus",1385603982663.05,9
"308","Colletes maidli",2021338397743.16,21
"309","Colletes marginatus",16802996705187.3,891
"310","Colletes mlokossewiczi",7894813507374.78,114
"311","Colletes nanus",1938128732692.61,39
"312","Colletes nasutus",2996276857204.63,71
"313","Colletes nigricans",1246748511264.48,418
"314","Colletes perezi",2313854658498.65,25
"315","Colletes petalostemonis",2028783087205.53,485
"316","Colletes pumilus",1904879551659.84,34
"317","Colletes punctatus",882769501879.457,11
"318","Colletes rufotibialis",47243479106.4555,60
"319","Colletes sierrensis",15203077437.9159,30
"320","Colletes similis",22376889473096.2,2830
"321","Colletes simulans",16604808935701.6,1938
"322","Colletes succinctus",9091575108556.26,3487
"323","Colletes thoracicus",4308574418426.57,1642
"324","Colletes tuberculatus",1496102351122.69,9
"325","Colletes validus",2691490961172.99,392
"326","Dasypoda argentata",37222933561302.6,756
"327","Dasypoda braccata",1317227143384.52,13
"328","Dasypoda cingulata",912554612636.417,15
"329","Dasypoda crassicornis",700646379938.05,28
"330","Dasypoda dusmeti",325787296481.402,6
"331","Dasypoda hirtipes",39093838274370.1,22997
"332","Dasypoda maura",14102801763.5588,6
"333","Dasypoda morotei",198531685925.754,13
"334","Dasypoda sinuata",666301781788.796,7
"335","Dasypoda spinigera",138660889229.431,56
"336","Dasypoda visnaga",744904893490.604,24
"337","Diadasia angusticeps",322079727859.133,109
"338","Diadasia diminuta",10298055441774,5369
"339","Diadasia enavata",8604125378814.53,2151
"340","Diadasia laticauda",204153399393.109,342
"341","Diadasia nigrifrons",2602782284209.04,412
"342","Diadasia ochracea",4632534498012.7,3421
"343","Diadasia sphaeralcearum",2410679300115.89,410
"344","Diadasia tropicalis",2732602568307.17,152
"345","Diadasia vallicola",1689205493647.76,543
"346","Diadasina riparia",3752559193297.17,166
"347","Dufourea alpina",435925388138.212,488
"348","Dufourea dentiventris",5934138371764.52,2573
"349","Dufourea halictula",2604932044615.38,386
"350","Dufourea inermis",4774441706505.45,407
"351","Dufourea minuta",9585494145179.69,459
"352","Dufourea monardae",2810652150030.39,181
"353","Dufourea paradoxa",1977765208624.73,240
"354","Eoanthidium clypeare",1208355165.11694,4
"355","Eoanthidium insulare",44073737250.4997,9
"356","Eucera alternans",952265657939.182,6
"357","Eucera caspica",1355751315026.06,30
"358","Eucera clypeata",5129531167993.43,63
"359","Eucera elongatula",565863408846.773,24
"360","Eucera eucnemidea",383060731320.671,10
"361","Eucera frater",4491868790681.45,925
"362","Eucera furfurea",359598016052.373,12
"363","Eucera interrupta",9377715064723.42,285
"364","Eucera longicornis",27860858083892.9,7664
"365","Eucera nigrescens",7837259707323.46,3543
"366","Eucera nigrifacies",2362494317461.18,50
"367","Eucera nigrilabris",3500487500697.96,106
"368","Eucera notata",651974936511.695,17
"369","Eucera primiveris",809687653272.513,320
"370","Eucera proxima",2953898430336.24,24
"371","Eucera taurica",2880626887982.45,45
"372","Euglossa cordata",12934927758377.8,3635
"373","Eulaema nigrita",12479736551187.3,2812
"374","Euryglossa aureophila",453436870.876343,27
"375","Euryglossa morrisoni",3508822099.56092,97
"376","Flavipanurgus kastiliensis",9591870155.08167,7
"377","Haetosmia circumventa",2478023151424.72,42
"378","Halictus confusus",36642830443611.8,15111
"379","Halictus crenicornis",355990686609.816,13
"380","Halictus ligatus",20097571788192.3,44196
"381","Halictus maculatus",17399740904664.9,3022
"382","Halictus pollinosus",9556530149799.81,83
"383","Halictus quadricinctus",25931500856190.8,1391
"384","Halictus rubicundus",100874580987098,28745
"385","Halictus scabiosae",10465687163977.3,14952
"386","Halictus subauratus",19195261076370.4,3242
"387","Halictus tumulorum",48740774592342.4,26505
"388","Heriades carinata",15503682267281.6,3092
"389","Hoplitis adunca",9551806064426.94,3673
"390","Hoplitis annulata",2738532115571.03,36
"391","Hoplitis anthocopoides",9003458961631.84,543
"392","Hoplitis benoisti",309278665826.465,89
"393","Hoplitis bihamata",12209402620.5509,26
"394","Hoplitis carinata",73628098567.6021,12
"395","Hoplitis cristatula",407037478220.396,70
"396","Hoplitis fertoni",110873013184.103,10
"397","Hoplitis lepeletieri",276288584146.236,744
"398","Hoplitis loti",229201789820.971,766
"399","Hoplitis manicata",1320499626412.33,36
"400","Hoplitis mitis",2237743159514.84,1021
"401","Hoplitis pallicornis",629730759167.522,25
"402","Hoplitis pici",36882626721.2462,7
"403","Hoplitis pilosifrons",17246601587846.2,1853
"404","Hoplitis praestans",1636929930932.91,47
"405","Hoplitis ravouxi",1883710630801.07,386
"406","Hoplitis robusta",51607710384301.6,663
"407","Hoplitis tuberculata",5730244128089.4,1553
"408","Hoplitis villosa",1724423537128.79,590
"409","Hylaeus alpinus",297866518896.742,418
"410","Hylaeus angustatus",12923333932449.2,2130
"411","Hylaeus annulatus",67706937111046.4,7275
"412","Hylaeus brevicornis",20230998258346.8,6101
"413","Hylaeus clypearis",4343782809666.4,443
"414","Hylaeus communis",21413602758505.4,20312
"415","Hylaeus confusus",41430102936769.4,13406
"416","Hylaeus cornutus",8874804129781.03,576
"417","Hylaeus crassanus",239394626124.093,45
"418","Hylaeus dilatatus",10651267824641.3,2585
"419","Hylaeus duckei",4199945949638.24,58
"420","Hylaeus gibbus",15120610385454.7,1236
"421","Hylaeus glacialis",308664876361.883,79
"422","Hylaeus gredleri",11479916159307.2,1852
"423","Hylaeus hyalinatus",16276747098952.8,10659
"424","Hylaeus incongruus",13711983104648.7,1665
"425","Hylaeus kahri",5189097315048.63,386
"426","Hylaeus leptocephalus",35434877452214.1,1762
"427","Hylaeus moricei",6332960478928.39,49
"428","Hylaeus nigritus",13940951744812.8,2816
"429","Hylaeus nivalis",249999797358.034,277
"430","Hylaeus paulus",23265580172526.9,166
"431","Hylaeus pectoralis",28116527337647.6,1707
"432","Hylaeus pfankuchi",23350524009677.8,222
"433","Hylaeus pictipes",10906561010205.7,1058
"434","Hylaeus pilosulus",190062046081.241,45
"435","Hylaeus rinki",5873863579256.93,1560
"436","Hylaeus signatus",18633122883256.9,3561
"437","Hylaeus sinuatus",9980456075677.57,1225
"438","Hylaeus styriacus",8072280474064.92,761
"439","Hylaeus taeniolatus",7048495095082.26,282
"440","Hylaeus tyrolensis",2579192410697.49,120
"441","Hylaeus variegatus",17932074231847,1396
"442","Icteranthidium fedtschenkoi",11270392975.421,4
"443","Icteranthidium ferrugineum",16624318639593.2,48
"444","Icteranthidium grohmanni",2444755162769.71,127
"445","Icteranthidium laterale",9563864007304.75,355
"446","Lasioglossum acuminatum",3951266817271.32,940
"447","Lasioglossum albipes",11653643547743.7,16432
"448","Lasioglossum albocinctum",1834453171652.3,161
"449","Lasioglossum anomalum",4445842003872.01,609
"450","Lasioglossum bimaculatum",581742574182.316,23
"451","Lasioglossum brevicorne",7929014715068.75,618
"452","Lasioglossum calceatum",43079149959610.4,31796
"453","Lasioglossum cinctipes",11528334886551.3,1259
"454","Lasioglossum clypeare",3716278923786.96,86
"455","Lasioglossum convexiusculum",3321593046894.84,131
"456","Lasioglossum coriaceum",10164600318019.4,4670
"457","Lasioglossum corvinum",1655069803473.13,14
"458","Lasioglossum costulatum",10531940881623.4,576
"459","Lasioglossum cressonii",14987256259695.2,7897
"460","Lasioglossum cupromicans",2336281543478.58,1299
"461","Lasioglossum euboeense",2098078339539.5,112
